,Address,City,Grocery Store,Houston Lat,Houston Lng,San An Lat,San An Lng
128,3545 Wheeler St,Houston,Bmb Food Store,29.720408,-95.355096,29.395475,-98.549504
129,4634 Market St,Houston,Peter's Food Market,29.772855,-95.323,29.447947,-98.553836
130,5701 Almeda Rd,Houston,Capital Sales Damaged Freight Groceries,29.718866,-95.380124,29.367694,-98.495595
131,4634 Irvington Blvd,Houston,Corner Food Mart,29.803146,-95.360988,29.393704,-98.549734
132,805 Dumble St,Houston,Pat Food Store,29.739391,-95.326694,29.431374,-98.560072
133,4800 Clinton Dr,Houston,American Bag Manufacturing,29.764501,-95.320026,29.464313,-98.543336
134,2528 Calumet St,Houston,Mom Food Store,29.717578,-95.374698,29.472101,-98.534277
135,4702 Lyons Ave,Houston,First Grocery,29.77623,-95.322696,29.367947,-98.48127
136,1931 Portsmouth St,Houston,Quixtar Ibo,29.733436,-95.408494,29.36811,-98.478689
137,5710 Memorial Dr,Houston,Teahouse Beverage,29.761463,-95.419804,29.373414,-98.527283
138,5218 Sherman St,Houston,Los Pirules Grocery,29.744238,-95.322116,29.366317,-98.504049
139,1412 Cavalcade St,Houston,Pay N Save Food Store,29.803268,-95.353683,29.480901,-98.518805
140,1002 N Shepherd Dr,Houston,A & G Food Store,29.788725,-95.409852,29.366227,-98.481822
141,910 N Durham Dr,Houston,Runny Food Store,29.786826,-95.411726,29.478724,-98.526007
142,3942 Scott St,Houston,Quik Stop,29.717912,-95.35333,29.424317,-98.563494
143,1010 W Cavalcade St,Houston,Asia Market,29.804004,-95.385065,29.484451,-98.507838
144,1001 Telephone Rd,Houston,S & O Grocery,29.7331,-95.328376,29.372035,-98.461339
145,5306 Canal St,Houston,Rosario's-Mistic,29.745997,-95.320394,29.44851,-98.559794
146,3145 Crane St,Houston,Hollywood Food Store,29.796604,-95.336577,29.486708,-98.507831
147,2360 W Alabama St,Houston,Lucia's Garden,29.738519,-95.415847,29.410196,-98.425028
148,3814 Collingsworth St,Houston,Bobby's Food Market,29.793943,-95.332354,29.457893,-98.555813
149,5403 Sonora St,Houston,Nice Stop Food Store,29.769821,-95.317119,29.429515,-98.566674
150,3713 Jensen Dr,Houston,Cuatro Cinco Enterprises,29.801164,-95.342247,29.368673,-98.461137
151,5927 Almeda Rd,Houston,Nature's Market,29.715085,-95.381418,29.370505,-98.534027
152,3821 Farnham St,Houston,Tru Meals,29.732344,-95.412308,29.372404,-98.538229
153,5520 Sherman St,Houston,Sherman Mercado,29.743224,-95.318872,29.477673,-98.539161
154,6111 Washington Ave,Houston,Super K Food Store,29.77146,-95.423455,29.418972,-98.568976
155,3201 N MacGregor Way,Houston,Tip Top Grocery,29.712134,-95.369752,29.36005,-98.503871
156,3102 Kirby Dr,Houston,Rice Epicurean Markets,29.737594,-95.41881,29.41321,-98.568715
157,1602 Henninger St,Houston,Gonzalez Grocery,29.73173,-95.323838,29.368112,-98.532967
158,2215 Cohn St,Houston,Sunshine Food Mart,29.779584,-95.422013,29.361688,-98.516244
159,5600 Harvey Wilson Dr,Houston,Baily International,29.759124,-95.312741,29.413094,-98.569211
160,1303 N Durham Dr,Houston,Seven Crown Food Store No 5,29.794357,-95.411589,29.412977,-98.56972
161,4802 Gulf Fwy,Houston,Sun Belt Commodities,29.723941,-95.331034,29.488532,-98.519421
162,2430 Airline Dr,Houston,Golden Food Store,29.809515,-95.382017,29.427236,-98.571658
163,2503 Link Rd,Houston,Lone Star Culinary,29.809588,-95.382299,29.436737,-98.571241
164,238 W 19th St,Houston,Blissful Indulgence,29.802916,-95.400598,29.366282,-98.534027
165,2942 Virginia St,Houston,Lucias Garden,29.738611,-95.421126,29.480242,-98.541727
166,2523 Airline Dr,Houston,Flores Spices & Herbs,29.810371,-95.382033,29.356646,-98.502732
167,2520 Airline Dr,Houston,The Egg House,29.810513,-95.382035,29.356646,-98.502732
168,6412 N Main St,Houston,Stop At Joe's Food Store,29.808619,-95.389704,29.356638,-98.504855
169,1202 W 15th St,Houston,La Espiga De Oro,29.797894,-95.409619,29.494669,-98.502707
170,5802 Fulton St,Houston,Ike's Place,29.811819,-95.369735,29.355199,-98.490339
171,2124 Lockwood Dr,Houston,Rb Market,29.781098,-95.315846,29.425348,-98.575864
172,5610 Clinton Dr,Houston,Cadeco Industries,29.762106,-95.310538,29.411721,-98.575145
173,3910 Kirby Dr,Houston,Miyako,29.732161,-95.418676,29.439047,-98.413522
174,2615 Airline Dr,Houston,Jurica's Eggs & Grocery,29.811719,-95.382102,29.368091,-98.545622
175,3260 Westheimer Rd,Houston,Crescent City Beignets,29.742119,-95.425332,29.361329,-98.534041
176,1231 Hahlo St,Houston,Supply Pro,29.765081,-95.309492,29.492947,-98.525975
177,5800 Lyons Ave,Houston,Fiesta Mart,29.776519,-95.31184,29.499296,-98.499264
178,516 W 19th St,Houston,Penzey's Spices,29.80284,-95.406233,29.424554,-98.409667
179,4137 Cavalcade St,Houston,Super Kwik,29.800332,-95.3286,29.487559,-98.447656
180,6130 Irvington Blvd,Houston,Amigo Mart,29.814587,-95.361082,29.49912,-98.50781
181,846 Kress St,Houston,Kress Food Store,29.773043,-95.307463,29.496659,-98.4691
182,6201 Lyons Ave,Houston,Vargas Food Mart,29.776513,-95.308253,29.450063,-98.576208
183,5001 Crane St,Houston,Kashmere Food Mart,29.796967,-95.320518,29.35659,-98.531136
184,3525 Lockwood Dr,Houston,Salina Food Mart,29.791954,-95.316126,29.380158,-98.564215
185,6417 Helmers St,Houston,Helmers Food Store,29.81687,-95.365466,29.351363,-98.516245
186,5820 Scott St,Houston,Scott Food Mart,29.705041,-95.358449,29.366499,-98.43755
187,6946 Avenue N,Houston,Sanchez & Son Grocery,29.742716,-95.308023,29.488939,-98.444076
188,202 W 27th St,Houston,Sunset Heights Food Market,29.811068,-95.399663,29.440949,-98.407635
189,901 Fair Oaks Rd,Houston,Fair Oak Food Mart,29.730504,-95.314502,29.494496,-98.535009
190,3719 Lockwood Dr,Houston,Zs Food Mart,29.793532,-95.316226,29.364508,-98.550655
191,5410 Kirby Dr,Houston,My Fit Foods,29.723349,-95.418544,29.414426,-98.405554
192,941 W 18th St,Houston,Pita Pal Industries,29.801718,-95.414927,29.482247,-98.431505
193,5601 Lawndale St,Houston,Pak A Sak,29.726543,-95.317301,29.345552,-98.503876
194,3802 Lockwood Dr,Houston,Freddie's C & C,29.794026,-95.316298,29.346886,-98.516229
195,6325 Hurst St,Houston,Seatex,29.787511,-95.427781,29.432433,-98.587577
196,1725 Dismuke St,Houston,Sam's Drive-Inn Grocery,29.723181,-95.319234,29.499312,-98.53505
197,6301 Hillsboro St,Houston,Amigo Grocery,29.780141,-95.307072,29.413198,-98.587793
198,6622 Supply Row,Houston,All American Trading of Houston,29.734039,-95.310675,29.419681,-98.589166
199,3131 Holcombe Blvd,Houston,Gsc Trading Co,29.703025,-95.378901,29.484856,-98.428277
200,2204 Caplin St,Houston,Mitchells Grocery,29.81587,-95.347205,29.364997,-98.561062
201,6712 Canal St,Houston,Yerberia Abrecamino,29.741511,-95.30614,29.491346,-98.554449
202,1910 Dismuke St,Houston,CD Markets,29.721259,-95.319971,29.34562,-98.52748
203,6718 Canal St,Houston,Yerberia La Sultana,29.741424,-95.305862,29.471837,-98.575533
204,247 Kress St,Houston,Global Food Store,29.783707,-95.307362,29.489253,-98.563214
205,4804 Martin Luther King Jr Blvd,Houston,Nick's Grocery,29.708674,-95.336638,29.494484,-98.432004
206,3311 Mercer St,Houston,Elegant Edibles,29.736106,-95.432145,29.358416,-98.560961
207,803 W 24th St,Houston,Boxes and Bags Mobile Grocery,29.807822,-95.412507,29.513607,-98.482822
208,1201 Wayside Dr,Houston,Wayside Food Mart,29.744544,-95.303122,29.493226,-98.427894
209,1103 Lathrop St,Houston,Lathrop Express Food Store,29.76918,-95.3012,29.51449,-98.506805
210,2719 Joanel St,Houston,St Luke's Center for Counseling & Life Enrichment,29.739889,-95.434385,29.356345,-98.562058
211,1370 E 40th St,Houston,Latalera,29.820228,-95.381843,29.500186,-98.554187
212,1600 Wayside Dr,Houston,L & H Food Store,29.747289,-95.301979,29.512575,-98.52594
213,6875 Fulton St,Houston,International Wholesales,29.821354,-95.375387,29.471277,-98.402367
214,4401 Lockwood Dr,Houston,Big G Drive Inn,29.800869,-95.317077,29.374483,-98.404563
215,800 S Wayside Dr,Houston,Fiesta Mart,29.730578,-95.308866,29.353533,-98.425332
216,3200 Yale St,Houston,Lee's Food Market,29.815905,-95.399478,29.330773,-98.501203
217,6902 Market St,Houston,Latino Food Mart,29.772831,-95.300801,29.332246,-98.516207
218,5172 Buffalo Speedway,Houston,Paciugo,29.726964,-95.427898,29.347844,-98.557458
219,6921 Almeda Rd,Houston,Almeda Mediterranean Food Store,29.701324,-95.385893,29.48038,-98.40618
220,1302 Boyles St,Houston,Paletas Los Primos,29.765442,-95.29946,29.513035,-98.536226
221,6902 Irvington Blvd,Houston,Seven's,29.822121,-95.361122,29.517403,-98.46401
222,610 SSGT Macario Garcia Dr,Houston,777 Food Mart,29.739934,-95.302794,29.413666,-98.603545
223,610 SSGT Macario Garcia Dr,Houston,J & M Food Store,29.739934,-95.302794,29.494441,-98.57075
224,627 Lathrop St,Houston,Franco's Drive-In Grocery Co,29.777457,-95.301185,29.48356,-98.406891
225,2521 University Blvd,Houston,The Chocolate Bar,29.715048,-95.417585,29.483618,-98.406892
226,5810 Cullen Blvd,Houston,Victory Meals,29.701396,-95.348762,29.466035,-98.594571
227,1412 SSGT Macario Garcia Dr,Houston,Stop and Shop-4,29.745377,-95.300528,29.484074,-98.406981
228,4003 Kelley St,Houston,Friendly Tommy Grocery,29.813492,-95.331612,29.328636,-98.501204
229,4718 Lockwood Dr,Houston,Rand Food Store,29.803754,-95.31703,29.34443,-98.555506
230,445 Lathrop St,Houston,Seven Seas Grocery,29.780493,-95.301186,29.496578,-98.419667
231,3116 Produce Row,Houston,Quay Corporation,29.708883,-95.329042,29.504189,-98.559357
232,3144 Produce Row,Houston,Odwalla-Houston,29.708771,-95.32866,29.449102,-98.602667
233,403 Lathrop St,Houston,Lathrop Food Mart,29.781925,-95.301178,29.518774,-98.46258
234,4206 Kelley St,Houston,Key Grocery,29.813268,-95.328249,29.524045,-98.504877
235,7104 Irvington Blvd,Houston,Eaglemont Enterprises,29.824418,-95.361161,29.517543,-98.450721
236,3400 Bissonnet St,Houston,Oriental Art of Healing Acupuncture & Herbal Therapy,29.725352,-95.430753,29.512084,-98.55167
237,7003 Harrisburg Blvd,Houston,Grocery Services,29.735454,-95.301584,29.488286,-98.584571
238,3760 Richmond Ave,Houston,Super Express Food Mart,29.732789,-95.436718,29.515116,-98.439044
239,6830 Wallisville Rd,Houston,DC Food Market,29.787515,-95.301552,29.498542,-98.576299
240,7042 Harrisburg Blvd,Houston,El Azteca Market,29.735215,-95.300827,29.466336,-98.601888
241,3802 Yale St,Houston,Herbalife Independent Distributor,29.820576,-95.39949,29.330194,-98.540576
242,7133 Fulton St,Houston,El Diamante,29.825806,-95.37647,29.484075,-98.397309
243,3745 Westheimer Rd,Houston,Rice Epicurean,29.741732,-95.441372,29.514819,-98.553904
244,3745 Westheimer Rd,Houston,The Fresh Market,29.741732,-95.441372,29.527294,-98.472843
245,7050 Sherman St,Houston,Majid Food Market,29.737042,-95.299424,29.524861,-98.458959
246,8021 N Main St,Houston,Link Food Store,29.822692,-95.394803,29.531028,-98.490568
247,803 Harbor St,Houston,Harbor Food Store,29.774403,-95.294661,29.531593,-98.487644
248,3100 Produce Row,Houston,Cacique USA Food,29.706989,-95.324341,29.368814,-98.599697
249,7120 Canal St,Houston,La Casita Mexican Products,29.738728,-95.297346,29.487314,-98.595939
