,Address,City,Grocery Store
73,1557 SW 19th St,San Antonio,Saltillo Grocery
74,1206 Fulton Ave,San Antonio,Acme Soap Co
75,1923 Blanco Rd,San Antonio,Blanco Grocery
76,243 Castroville Rd,San Antonio,La Grande 1
77,406 Vine St,San Antonio,Vine Food Mart
78,270 Castroville Rd,San Antonio,Daniel's Food Mart
79,3910 McCullough Ave,San Antonio,The Popcorn Place
80,628 W Hildebrand Ave,San Antonio,Express Ms
81,420 Nunes St,San Antonio,Jardin De St James
82,4010 W Commerce St,San Antonio,Handy Andy Supermarkets
83,825 W Hildebrand Ave,San Antonio,Tokyo Mart
84,1702 W Kings Hwy,San Antonio,The Brown Coffee Co
85,902 NW 24th St,San Antonio,Best Food Mart
86,1250 E Highland Blvd,San Antonio,Jenna's Food Mart
87,1905 Culebra Rd,San Antonio,Express Lane Grocery
88,1213 NW 24th St,San Antonio,Northwest Food Center
89,4102 S Presa St,San Antonio,El Norteno Molino
90,448 Castroville Rd,San Antonio,La Fiesta
91,1427 Frio City Rd,San Antonio,Palateria Arco Iris
92,3002 S Zarzamora St,San Antonio,New Horizon Grovery Store
93,1435 Frio City Rd,San Antonio,Arco Iris
94,546 Gladstone,San Antonio,Glad One Grocery & Ice
95,2332 Culebra Rd,San Antonio,Celorio
96,1237 Rigsby Ave,San Antonio,Neighborhood Food Mart
97,3402 S Zarzamora St,San Antonio,Arturo's Food Mart
98,4212 San Pedro Ave,San Antonio,Weissler Acupuncture
99,446 Cupples Rd,San Antonio,Superior Convenient Stop No 2
100,400 Randall Ave,San Antonio,New Randall Food Mart
101,601 Cupples Rd,San Antonio,La Canasta Foodmart
102,303 Commercial Ave,San Antonio,Los Hermanos Tortilleria
103,1110 Halliday Ave,San Antonio,Jennie & Mikie's Child Care Center
104,721 Castroville Rd,San Antonio,Central Market
105,5103 S Flores St,San Antonio,La Fiesta
106,4603 S Presa St,San Antonio,Tastee Kreme Three
107,727 Cupples Rd,San Antonio,Los Hermanos Barbacoa
108,3018 Blanco Rd,San Antonio,La Casita Products
109,3121 Blanco Rd,San Antonio,J N H Groceries
110,3517 S Gevers St,San Antonio,5 Corner Food Mart
111,4718 Broadway St,San Antonio,Chill Out
112,5300 S Flores St,San Antonio,Guacamaya Food Services
113,3414 Nogalitos,San Antonio,La Fiesta
114,3203 Aniol St,San Antonio,Mercado Latino
115,4821 Broadway St,San Antonio,Central Market
116,1439 E Southcross Blvd,San Antonio,Popular Food Store
117,539 S General McMullen Dr,San Antonio,JC Food Mart
118,2547 Steves Ave,San Antonio,Pennies Food Mart
119,806 Commercial Ave,San Antonio,J&J Foods
120,901 S General McMullen Dr,San Antonio,La Fe Herberia
121,133 Goliad Rd,San Antonio,Freddy's Food Mart
122,2734 Roosevelt Ave,San Antonio,MS Express
123,3200 E Houston St,San Antonio,Parkway Leasing
124,3731 Miner St,San Antonio,Alamo Processors
125,1305 Pleasanton Rd,San Antonio,La Sultana Tomales
126,1125 S General McMullen Dr,San Antonio,Tortilleria's Sifuentes
127,4926 W Commerce St,San Antonio,Singh Food Mart
128,1211 Cupples Rd,San Antonio,On They Way Mart
129,2754 Culebra Rd,San Antonio,La Amistad Molino
130,5801 S Flores St,San Antonio,Pronto's Ice House
131,1422 Cupples Rd,San Antonio,Cupples Food Mart
132,5050 W Commerce St,San Antonio,Tortilleria Del Barrio
133,1005 Donaldson Ave,San Antonio,Prilinas Shop & Save
134,107 Babcock Rd,San Antonio,Fiesta Food N Fruit Mart
135,3015 Roosevelt Ave,San Antonio,Steve's Sno Cone House 3
136,5963 Padre Dr,San Antonio,Talk & Walk Food Mart
137,1224 Stonewall St,San Antonio,Our Lady of The Angels Nutrition Center
138,1622 Pleasanton Rd,San Antonio,La Grande 3
139,1438 W Mariposa Dr,San Antonio,Mariposa Groceries
140,553 E White,San Antonio,Fruteria La Mission
141,1901 West Ave,San Antonio,Tejas Barbacoa
142,5219 El Paso St,San Antonio,El Paso Food Mart
143,4107 Blanco Rd,San Antonio,La Fiesta
144,5455 S New Braunfels Ave,San Antonio,Shop N Go Food Mart 2
145,3006 Culebra Rd,San Antonio,Padilla's Groceries
146,4310 Blanco Rd,San Antonio,Los Magueyes
147,1303 Wheatley Ave,San Antonio,Merryland Food Market
148,919 Bandera Rd,San Antonio,La Fiesta
149,330 W Old US Highway 90,San Antonio,The Grocers Supply Co
150,451 Hot Wells Blvd,San Antonio,Diamond Food Mart 3
151,5711 S Zarzamora St,San Antonio,Rios Food Mart
152,227 New Laredo Hwy,San Antonio,Mi Mercado
153,3534 Fredericksburg Rd,San Antonio,J C Food Mart
154,721 SW 34th St,San Antonio,De La Garza Grocery
155,2038 Pleasanton Rd,San Antonio,Steve's Sno Cone House
156,2103 Castroville Rd,San Antonio,Cardenas Grocery
157,1501 W Southcross Blvd,San Antonio,Barbacoa to Go
158,288 W Mayfield Blvd,San Antonio,Mayfield Food Mart
159,2106 Castroville Rd,San Antonio,South Texas Spice Company
160,2122 Castroville Rd,San Antonio,Highlife Grocery
161,2030 Basse Rd,San Antonio,Sara Food Mart
162,567 W Old US Highway 90,San Antonio,Laila Food Mart
163,303 NW 36th St,San Antonio,Three Amigos Grocery
164,6203 S Zarzamora St,San Antonio,High Life
165,3707 Fredericksburg Rd,San Antonio,Village Market
166,735 SW Military Dr,San Antonio,Gold Star Jewelry Inside Heb
167,735 SW Military Dr,San Antonio,Heb Insurance
168,842 SW Military Dr,San Antonio,J C Food Mart
169,2 Burwood Ln,San Antonio,Global Spice Company
170,6723 S Flores St,San Antonio,J C Food Mart
171,727 W Old US Highway 90,San Antonio,La Frontera Molino
172,2417 Castroville Rd,San Antonio,Charlie's Foof Mart
173,4231 Director Dr,San Antonio,Salt Exchange
174,506 New Laredo Hwy,San Antonio,Davalo's Grocery
175,6703 S Zarzamora St,San Antonio,Thrift-T Mart
176,3405 West Ave,San Antonio,La Playa International Store
177,6623 San Pedro Ave,San Antonio,Las Americas Latin Market
178,4355 E Houston St,San Antonio,East Houston Food Mart
179,118 Mount Calvary Dr,San Antonio,Orange Leaf Frozen Yogurt
180,5303 Blanco Rd,San Antonio,Corner Food Mart
181,999 E Basse Rd,San Antonio,Papa Deans Popcorn Co
182,3682 Culebra Rd,San Antonio,Texas Meat Market 2
183,2310 SW Military Dr,San Antonio,Priman
184,3339 General Hudnell Dr,San Antonio,Market Depot
185,2601 Commercial Ave,San Antonio,Commercial Food Mart
186,1934 Dollarhide Ave,San Antonio,Beer Box 1
187,1251 Austin Hwy,San Antonio,Baly Mart
188,4424 Dividend,San Antonio,Direct Source Meats
189,2347 Vance Jackson Rd,San Antonio,Diamond Food Mart
190,810 New Laredo Hwy,San Antonio,L S Food Mart
191,1036 S WW White Rd,San Antonio,Jennifer Kuna
192,2111 Harry Wurzbach Rd,San Antonio,Fort Sam Grocery
193,3410 Pleasanton Rd,San Antonio,Guerra's Molino
194,3020 Commercial Ave,San Antonio,Angelica's 2
195,123 S Acme Rd,San Antonio,Kwik Stop
196,2803 Vance Jackson Rd,San Antonio,Big Star Food Mart
197,1011 S Acme Rd,San Antonio,Creative Foodworks
198,1214 W Old US Highway 90,San Antonio,Quick Stuff
199,1005 Rittiman Rd,San Antonio,Boricua Food Market
200,223 Bynum Ave,San Antonio,E-Z Shop Bynum
201,3309 Hillcrest Dr,San Antonio,Hillcrest Grocery
202,1439 W Hutchins Pl,San Antonio,Pepe's Molino
203,1904 Bandera Rd,San Antonio,Hamidi Food Mart
204,4100 NW Loop 410,San Antonio,Onsite Food Check Systems
205,1520 Austin Hwy,San Antonio,Central Market
206,3643 SW Military Dr,San Antonio,Diamond Convenience Store
207,8318 Jones Maltsberger Rd,San Antonio,Maxmart No 2
208,3515 N Sunbelt Dr,San Antonio,Brookes Pecan
209,6421 Blanco Rd,San Antonio,La Hacienda Products
210,7230 New Laredo Hwy,San Antonio,Laredo Express
211,3546 Pin Oak Dr,San Antonio,Riz Food Mart
212,5005 West Ave,San Antonio,Fun & Fancy Chocolate Fountains
213,4500 Industry Park Dr,San Antonio,Labatt Food Service
214,3203 S WW White Rd,San Antonio,Gasgo Markets
215,3333 SE Military Dr,San Antonio,Central Market
216,4151 Pleasanton Rd,San Antonio,Alina Food Mart
217,4007 Commercial Ave,San Antonio,Primo Food Mart
218,7802 Somerset Rd,San Antonio,Grandma B's Meat Market
219,5620 Rittiman Plz,San Antonio,The Sygma Network
220,2635 Mossrock,San Antonio,Lonestar Grocery Supply
221,8501 Broadway St,San Antonio,Timewise Food
222,5800 W Old US Highway 90,San Antonio,Bexar County of
223,1719 Babcock Rd,San Antonio,International Food Mart
224,6009 Rittiman Plz,San Antonio,Alamo Acupuncture & Chinese Herbal Clinic
225,6019 Rittiman Plz,San Antonio,Busan Asian Market
226,2874 Majestic Dr,San Antonio,La Grande Five
227,4412 Rittiman Rd,San Antonio,Oma Herb
228,4251 Pleasanton Rd,San Antonio,Stop Buy Food Mart
229,178 Iroquois St,San Antonio,Triple J Grocery
230,3903 Eisenhauer Rd,San Antonio,Nature's Solutions
231,7460 Callaghan Rd,San Antonio,Minnano Japanese Grocery
232,1311 Callaghan Rd,San Antonio,Papi's Barbacoa
233,8546 Broadway St,San Antonio,Luzca
234,7220 Blanco Rd,San Antonio,Korona Food Mart
235,2449 Nacogdoches Rd,San Antonio,International Food Market
236,8023 Callaghan Rd,San Antonio,Sasha's Internationa Market
237,4963 NW Loop 410,San Antonio,Filipino Express
238,1622 NE Loop 410,San Antonio,Stop-N-Drive
239,1955 Babcock Rd,San Antonio,Omni Oil
240,5947 Ingram Rd,San Antonio,J C Food Mart
241,1382 Gillette Blvd,San Antonio,San Antonio Food Store
242,4822 Rittiman Rd,San Antonio,Kp Foodstore
243,8000 W Interstate 10,San Antonio,Mercado Gonzalez Otero
244,9800 Airport Blvd,San Antonio,Aunties Annes Pretzels
245,2114 Mannix Dr,San Antonio,Koch Ranches Gourmet Country Store
246,10393 Sahara St,San Antonio,Northstar Food Mart
247,10000 McCullough Ave,San Antonio,Lotus Company
248,5050 W Military Dr,San Antonio,Diamond Food Mart 2
249,5502 Evers Rd,San Antonio,Evers Food Mart
